date,state,lat,long,cases,deaths
21/01/20,Alabama,32.318231,-86.902298,0,0
22/01/20,Alabama,32.318231,-86.902298,0,0
23/01/20,Alabama,32.318231,-86.902298,0,0
24/01/20,Alabama,32.318231,-86.902298,0,0
25/01/20,Alabama,32.318231,-86.902298,0,0
26/01/20,Alabama,32.318231,-86.902298,0,0
27/01/20,Alabama,32.318231,-86.902298,0,0
28/01/20,Alabama,32.318231,-86.902298,0,0
29/01/20,Alabama,32.318231,-86.902298,0,0
30/01/20,Alabama,32.318231,-86.902298,0,0
31/01/20,Alabama,32.318231,-86.902298,0,0
01/02/20,Alabama,32.318231,-86.902298,0,0
02/02/20,Alabama,32.318231,-86.902298,0,0
03/02/20,Alabama,32.318231,-86.902298,0,0
04/02/20,Alabama,32.318231,-86.902298,0,0
05/02/20,Alabama,32.318231,-86.902298,0,0
06/02/20,Alabama,32.318231,-86.902298,0,0
07/02/20,Alabama,32.318231,-86.902298,0,0
08/02/20,Alabama,32.318231,-86.902298,0,0
09/02/20,Alabama,32.318231,-86.902298,0,0
10/02/20,Alabama,32.318231,-86.902298,0,0
11/02/20,Alabama,32.318231,-86.902298,0,0
12/02/20,Alabama,32.318231,-86.902298,0,0
13/02/20,Alabama,32.318231,-86.902298,0,0
14/02/20,Alabama,32.318231,-86.902298,0,0
15/02/20,Alabama,32.318231,-86.902298,0,0
16/02/20,Alabama,32.318231,-86.902298,0,0
17/02/20,Alabama,32.318231,-86.902298,0,0
18/02/20,Alabama,32.318231,-86.902298,0,0
19/02/20,Alabama,32.318231,-86.902298,0,0
20/02/20,Alabama,32.318231,-86.902298,0,0
21/02/20,Alabama,32.318231,-86.902298,0,0
22/02/20,Alabama,32.318231,-86.902298,0,0
23/02/20,Alabama,32.318231,-86.902298,0,0
24/02/20,Alabama,32.318231,-86.902298,0,0
25/02/20,Alabama,32.318231,-86.902298,0,0
26/02/20,Alabama,32.318231,-86.902298,0,0
27/02/20,Alabama,32.318231,-86.902298,0,0
28/02/20,Alabama,32.318231,-86.902298,0,0
29/02/20,Alabama,32.318231,-86.902298,0,0
01/03/20,Alabama,32.318231,-86.902298,0,0
02/03/20,Alabama,32.318231,-86.902298,0,0
03/03/20,Alabama,32.318231,-86.902298,0,0
04/03/20,Alabama,32.318231,-86.902298,0,0
05/03/20,Alabama,32.318231,-86.902298,0,0
06/03/20,Alabama,32.318231,-86.902298,0,0
07/03/20,Alabama,32.318231,-86.902298,0,0
08/03/20,Alabama,32.318231,-86.902298,0,0
09/03/20,Alabama,32.318231,-86.902298,0,0
10/03/20,Alabama,32.318231,-86.902298,0,0
11/03/20,Alabama,32.318231,-86.902298,0,0
12/03/20,Alabama,32.318231,-86.902298,0,0
13/03/20,Alabama,32.318231,-86.902298,6,0
14/03/20,Alabama,32.318231,-86.902298,12,0
15/03/20,Alabama,32.318231,-86.902298,23,0
16/03/20,Alabama,32.318231,-86.902298,29,0
17/03/20,Alabama,32.318231,-86.902298,39,0
18/03/20,Alabama,32.318231,-86.902298,51,0
19/03/20,Alabama,32.318231,-86.902298,78,0
20/03/20,Alabama,32.318231,-86.902298,106,0
21/03/20,Alabama,32.318231,-86.902298,131,0
22/03/20,Alabama,32.318231,-86.902298,157,0
23/03/20,Alabama,32.318231,-86.902298,196,0
24/03/20,Alabama,32.318231,-86.902298,242,0
25/03/20,Alabama,32.318231,-86.902298,386,1
26/03/20,Alabama,32.318231,-86.902298,538,3
27/03/20,Alabama,32.318231,-86.902298,639,4
28/03/20,Alabama,32.318231,-86.902298,720,4
29/03/20,Alabama,32.318231,-86.902298,830,5
30/03/20,Alabama,32.318231,-86.902298,947,11
31/03/20,Alabama,32.318231,-86.902298,999,13
01/04/20,Alabama,32.318231,-86.902298,1106,28
02/04/20,Alabama,32.318231,-86.902298,1270,32
03/04/20,Alabama,32.318231,-86.902298,1535,38
04/04/20,Alabama,32.318231,-86.902298,1632,44
05/04/20,Alabama,32.318231,-86.902298,1840,45
06/04/20,Alabama,32.318231,-86.902298,2005,53
07/04/20,Alabama,32.318231,-86.902298,2197,64
08/04/20,Alabama,32.318231,-86.902298,2498,67
09/04/20,Alabama,32.318231,-86.902298,2838,78
10/04/20,Alabama,32.318231,-86.902298,3008,80
11/04/20,Alabama,32.318231,-86.902298,3262,93
12/04/20,Alabama,32.318231,-86.902298,3583,93
13/04/20,Alabama,32.318231,-86.902298,3805,104
14/04/20,Alabama,32.318231,-86.902298,3953,114
15/04/20,Alabama,32.318231,-86.902298,4241,123
16/04/20,Alabama,32.318231,-86.902298,4404,137
17/04/20,Alabama,32.318231,-86.902298,4572,151
18/04/20,Alabama,32.318231,-86.902298,4723,147
19/04/20,Alabama,32.318231,-86.902298,4903,160
20/04/20,Alabama,32.318231,-86.902298,5078,164
21/04/20,Alabama,32.318231,-86.902298,5327,186
22/04/20,Alabama,32.318231,-86.902298,5610,201
23/04/20,Alabama,32.318231,-86.902298,5832,197
24/04/20,Alabama,32.318231,-86.902298,6026,209
25/04/20,Alabama,32.318231,-86.902298,6213,213
26/04/20,Alabama,32.318231,-86.902298,6421,219
27/04/20,Alabama,32.318231,-86.902298,6539,228
28/04/20,Alabama,32.318231,-86.902298,6750,242
29/04/20,Alabama,32.318231,-86.902298,6925,262
30/04/20,Alabama,32.318231,-86.902298,7068,272
01/05/20,Alabama,32.318231,-86.902298,7294,289
02/05/20,Alabama,32.318231,-86.902298,7611,288
03/05/20,Alabama,32.318231,-86.902298,7888,290
04/05/20,Alabama,32.318231,-86.902298,8112,298
05/05/20,Alabama,32.318231,-86.902298,8437,315
06/05/20,Alabama,32.318231,-86.902298,8691,343
07/05/20,Alabama,32.318231,-86.902298,9046,369
08/05/20,Alabama,32.318231,-86.902298,9385,383
09/05/20,Alabama,32.318231,-86.902298,9668,390
10/05/20,Alabama,32.318231,-86.902298,9889,393
11/05/20,Alabama,32.318231,-86.902298,10164,403
21/01/20,Alaska,63.588753,-154.493062,0,0
22/01/20,Alaska,63.588753,-154.493062,0,0
23/01/20,Alaska,63.588753,-154.493062,0,0
24/01/20,Alaska,63.588753,-154.493062,0,0
25/01/20,Alaska,63.588753,-154.493062,0,0
26/01/20,Alaska,63.588753,-154.493062,0,0
27/01/20,Alaska,63.588753,-154.493062,0,0
28/01/20,Alaska,63.588753,-154.493062,0,0
29/01/20,Alaska,63.588753,-154.493062,0,0
30/01/20,Alaska,63.588753,-154.493062,0,0
31/01/20,Alaska,63.588753,-154.493062,0,0
01/02/20,Alaska,63.588753,-154.493062,0,0
02/02/20,Alaska,63.588753,-154.493062,0,0
03/02/20,Alaska,63.588753,-154.493062,0,0
04/02/20,Alaska,63.588753,-154.493062,0,0
05/02/20,Alaska,63.588753,-154.493062,0,0
06/02/20,Alaska,63.588753,-154.493062,0,0
07/02/20,Alaska,63.588753,-154.493062,0,0
08/02/20,Alaska,63.588753,-154.493062,0,0
09/02/20,Alaska,63.588753,-154.493062,0,0
10/02/20,Alaska,63.588753,-154.493062,0,0
11/02/20,Alaska,63.588753,-154.493062,0,0
12/02/20,Alaska,63.588753,-154.493062,0,0
13/02/20,Alaska,63.588753,-154.493062,0,0
14/02/20,Alaska,63.588753,-154.493062,0,0
15/02/20,Alaska,63.588753,-154.493062,0,0
16/02/20,Alaska,63.588753,-154.493062,0,0
17/02/20,Alaska,63.588753,-154.493062,0,0
18/02/20,Alaska,63.588753,-154.493062,0,0
19/02/20,Alaska,63.588753,-154.493062,0,0
20/02/20,Alaska,63.588753,-154.493062,0,0
21/02/20,Alaska,63.588753,-154.493062,0,0
22/02/20,Alaska,63.588753,-154.493062,0,0
23/02/20,Alaska,63.588753,-154.493062,0,0
24/02/20,Alaska,63.588753,-154.493062,0,0
25/02/20,Alaska,63.588753,-154.493062,0,0
26/02/20,Alaska,63.588753,-154.493062,0,0
27/02/20,Alaska,63.588753,-154.493062,0,0
28/02/20,Alaska,63.588753,-154.493062,0,0
29/02/20,Alaska,63.588753,-154.493062,0,0
01/03/20,Alaska,63.588753,-154.493062,0,0
02/03/20,Alaska,63.588753,-154.493062,0,0
03/03/20,Alaska,63.588753,-154.493062,0,0
04/03/20,Alaska,63.588753,-154.493062,0,0
05/03/20,Alaska,63.588753,-154.493062,0,0
06/03/20,Alaska,63.588753,-154.493062,0,0
07/03/20,Alaska,63.588753,-154.493062,0,0
08/03/20,Alaska,63.588753,-154.493062,0,0
09/03/20,Alaska,63.588753,-154.493062,0,0
10/03/20,Alaska,63.588753,-154.493062,0,0
11/03/20,Alaska,63.588753,-154.493062,0,0
12/03/20,Alaska,63.588753,-154.493062,1,0
13/03/20,Alaska,63.588753,-154.493062,1,0
14/03/20,Alaska,63.588753,-154.493062,1,0
15/03/20,Alaska,63.588753,-154.493062,1,0
16/03/20,Alaska,63.588753,-154.493062,3,0
17/03/20,Alaska,63.588753,-154.493062,6,0
18/03/20,Alaska,63.588753,-154.493062,9,0
19/03/20,Alaska,63.588753,-154.493062,12,0
20/03/20,Alaska,63.588753,-154.493062,14,0
21/03/20,Alaska,63.588753,-154.493062,21,0
22/03/20,Alaska,63.588753,-154.493062,22,0
23/03/20,Alaska,63.588753,-154.493062,36,0
24/03/20,Alaska,63.588753,-154.493062,42,0
25/03/20,Alaska,63.588753,-154.493062,59,0
26/03/20,Alaska,63.588753,-154.493062,69,0
27/03/20,Alaska,63.588753,-154.493062,85,1
28/03/20,Alaska,63.588753,-154.493062,102,1
29/03/20,Alaska,63.588753,-154.493062,114,1
30/03/20,Alaska,63.588753,-154.493062,119,2
31/03/20,Alaska,63.588753,-154.493062,133,2
01/04/20,Alaska,63.588753,-154.493062,143,2
02/04/20,Alaska,63.588753,-154.493062,146,2
03/04/20,Alaska,63.588753,-154.493062,156,2
04/04/20,Alaska,63.588753,-154.493062,169,3
05/04/20,Alaska,63.588753,-154.493062,183,4
06/04/20,Alaska,63.588753,-154.493062,189,4
07/04/20,Alaska,63.588753,-154.493062,211,4
08/04/20,Alaska,63.588753,-154.493062,224,5
09/04/20,Alaska,63.588753,-154.493062,233,5
10/04/20,Alaska,63.588753,-154.493062,244,5
11/04/20,Alaska,63.588753,-154.493062,255,6
12/04/20,Alaska,63.588753,-154.493062,270,6
13/04/20,Alaska,63.588753,-154.493062,275,6
14/04/20,Alaska,63.588753,-154.493062,283,7
15/04/20,Alaska,63.588753,-154.493062,291,7
16/04/20,Alaska,63.588753,-154.493062,298,7
17/04/20,Alaska,63.588753,-154.493062,307,7
18/04/20,Alaska,63.588753,-154.493062,312,7
19/04/20,Alaska,63.588753,-154.493062,317,7
20/04/20,Alaska,63.588753,-154.493062,319,7
21/04/20,Alaska,63.588753,-154.493062,327,7
22/04/20,Alaska,63.588753,-154.493062,333,7
23/04/20,Alaska,63.588753,-154.493062,335,7
24/04/20,Alaska,63.588753,-154.493062,337,7
25/04/20,Alaska,63.588753,-154.493062,337,7
26/04/20,Alaska,63.588753,-154.493062,339,7
27/04/20,Alaska,63.588753,-154.493062,343,7
28/04/20,Alaska,63.588753,-154.493062,349,7
29/04/20,Alaska,63.588753,-154.493062,353,7
30/04/20,Alaska,63.588753,-154.493062,353,7
01/05/20,Alaska,63.588753,-154.493062,362,7
02/05/20,Alaska,63.588753,-154.493062,363,7
03/05/20,Alaska,63.588753,-154.493062,366,7
04/05/20,Alaska,63.588753,-154.493062,368,7
05/05/20,Alaska,63.588753,-154.493062,369,7
06/05/20,Alaska,63.588753,-154.493062,370,8
07/05/20,Alaska,63.588753,-154.493062,373,8
08/05/20,Alaska,63.588753,-154.493062,376,8
09/05/20,Alaska,63.588753,-154.493062,377,8
10/05/20,Alaska,63.588753,-154.493062,378,8
11/05/20,Alaska,63.588753,-154.493062,380,8
21/01/20,Arizona,34.048928,-111.09373,0,0
22/01/20,Arizona,34.048928,-111.09373,0,0
23/01/20,Arizona,34.048928,-111.09373,0,0
24/01/20,Arizona,34.048928,-111.09373,0,0
25/01/20,Arizona,34.048928,-111.09373,0,0
26/01/20,Arizona,34.048928,-111.09373,1,0
27/01/20,Arizona,34.048928,-111.09373,1,0
28/01/20,Arizona,34.048928,-111.09373,1,0
29/01/20,Arizona,34.048928,-111.09373,1,0
30/01/20,Arizona,34.048928,-111.09373,1,0
31/01/20,Arizona,34.048928,-111.09373,1,0
01/02/20,Arizona,34.048928,-111.09373,1,0
